Total de registros,11304,,,
Id STV,Id Flujo,Etiqueta,Estatus,Fecha de consulta
152,152,C2N-PANTIT-152-152-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
218,218,C2N-CONGRE-218-218-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
219,219,C2N-CONSUL-219-219-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
220,220,C2N-CONSUL-220-220-PTZ,Cámara sin señal-Cámara sin grabación,04/12/2025 09:25
221,221,C2N-ARENAL-221-221-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
504,504,C2N-MERCED-504-504-PTZ,Cámara sin señal-Cámara sin grabación,04/12/2025 09:25
528,528,C2N-CUAUTE-528-528-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
529,529,C2N-PRADER-529-529-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
530,530,C2N-ARAGON-530-530-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
531,531,C2N-CUAUTE-531-531-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
532,532,C2N-CUAUTE-532-532-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
533,533,C2N-ARAGON-533-533-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
534,534,C2N-ARAGON-534-534-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
535,535,C2N-ARAGON-535-535-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
536,536,C2N-CUAUTE-536-536-PTZ,Cámara sin señal-Cámara sin grabación,04/12/2025 09:25
537,537,C2N-CUAUTE-537-537-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
538,538,C2N-CUAUTE-538-538-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
539,539,C2N-CUAUTE-539-539-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
540,540,C2N-CUAUTE-540-540-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
541,541,C2N-CUAUTE-541-541-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
542,542,C2N-CUAUTE-542-542-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
543,543,C2N-CUAUTE-543-543-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
544,544,C2N-CUAUTE-544-544-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
545,545,C2N-CUAUTE-545-545-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
546,546,C2N-TICOMA-546-546-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
547,547,C2N-CUAUTE-547-547-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
548,548,C2N-CUAUTE-548-548-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
549,549,C2N-CUAUTE-549-549-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
550,550,C2N-ARAGON-550-550-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
551,551,C2N-CUAUTE-551-551-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
552,552,C2N-CUAUTE-552-552-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
553,553,C2N-CUAUTE-553-553-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
555,555,C2N-LINDAV-555-555-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
556,556,C2N-LINDAV-556-556-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
557,557,C2N-LINDAV-557-557-PTZ,Cámara con señal/intermitente-Cámara grabando/intermitente,04/12/2025 09:25
558,558,C2N-ARAGON-558-558-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
559,559,C2N-ARAGON-559-559-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
560,560,C2N-ARAGON-560-560-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
561,561,C2N-LINDAV-561-561-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
562,562,C2N-LINDAV-562-562-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
563,563,C2N-ARAGON-563-563-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
564,564,C2N-QUIROG-564-564-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
565,565,C2N-QUIROG-565-565-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
566,566,C2N-QUIROG-566-566-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
567,567,C2N-QUIROG-567-567-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
569,569,C2N-PRADER-569-569-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
580,580,C2N-TEPEYA-580-580-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
581,581,C2N-TEPEYA-581-581-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
582,582,C2N-TEPEYA-582-582-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
583,583,C2N-TEPEYA-583-583-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
584,584,C2N-TEPEYA-584-584-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
585,585,C2N-ARAGON-585-585-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
586,586,C2N-ARAGON-586-586-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
587,587,C2N-ARAGON-587-587-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
588,588,C2N-ARAGON-588-588-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
590,590,C2N-ARAGON-590-590-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
591,591,C2N-ARAGON-591-591-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
592,592,C2N-ARAGON-592-592-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
593,593,C2N-PRADER-593-593-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
594,594,C2N-ARAGON-594-594-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
595,595,C2N-ARAGON-595-595-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
596,596,C2N-ARAGON-596-596-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
599,599,C2N-IZTACC-599-599-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
601,601,C2N-IZTACC-601-601-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
602,602,C2N-IZTACC-602-602-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
603,603,C2N-IZTACC-603-603-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
604,604,C2N-IZTACC-604-604-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
605,605,C2N-IZTACC-605-605-PTZ-20M,Cámara sin señal-Cámara sin grabación,04/12/2025 09:25
606,606,C2N-IZTACC-606-606-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
607,607,C2N-IZTACC-607-607-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
608,608,C2N-IZTACC-608-608-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
609,609,C2N-IZTACC-609-609-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
610,610,C2N-IZTACC-610-610-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
611,611,C2N-IZTACC-611-611-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
612,612,C2N-IZTACC-612-612-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
613,613,C2N-IZTACC-613-613-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
614,614,C2N-IZTACC-614-614-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
615,615,C2N-TLACOT-615-615-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
616,616,C2N-TLACOT-616-616-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
617,617,C2N-TLACOT-617-617-PTZ,Cámara sin señal-Cámara sin grabación,04/12/2025 09:25
618,618,C2N-TLACOT-618-618-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
619,619,C2N-TLACOT-619-619-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
620,620,C2N-TLACOT-620-620-PTZ,Cámara con señal-Cámara grabando,04/12/2025 09:25
