"Total de registros", 4074
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2ORIENTE","4144","4144","C2O-MILPAA-4144-4144-PTZ","33695"
"C2ORIENTE","4144","124442","C2O-MILPAA-124442-4144-FIJA","33695"
"C2ORIENTE","4144","124441","C2O-MILPAA-124441-4144-FIJA","33695"
"C2ORIENTE","4144","124440","C2O-MILPAA-124440-4144-FIJA","33695"
"C2ORIENTE","4144","124439","C2O-MILPAA-124439-4144-FIJA","33695"
"C2ORIENTE","1041","120770","C2O-TEPEPA-120770-1041-FIJA","9593"
"C2ORIENTE","1049","132170","C2O-TEPEPA-132170-1049-FIJA","9241"
"C2ORIENTE","900","132135","C2O-MIXQUI-132135-900-FIJA","3198"
"C2ORIENTE","900","132134","C2O-MIXQUI-132134-900-FIJA","3129"
"C2ORIENTE","900","132136","C2O-MIXQUI-132136-900-FIJA","2957"
"C2ORIENTE","5773","5773","C2O-MIXQUI-5773-5773-PTZ","2909"
"C2ORIENTE","5773","130550","C2O-MIXQUI-130550-5773-FIJA","2908"
"C2ORIENTE","4723","4723","C2O-CHURUB-4723-4723-PTZ","1962"
"C2ORIENTE","4266","4266","C2O-TEPEPA-4266-4266-PTZ","1955"
"C2ORIENTE","1079","1079","C2O-TEZONC-1079-1079-PTZ","1954"
"C2ORIENTE","7172","7172","C2O-ESTREL-7172-7172-PTZ","1945"
"C2ORIENTE","1079","132173","C2O-TEZONC-132173-1079-FIJA","1919"
"C2ORIENTE","7089","7089","C2O-ESTREL-7089-7089-PTZ","1865"
"C2ORIENTE","15772","15772","C2O-TEZONC-15772-15772-PTZ","1841"
"C2ORIENTE","4723","108541","C2O-CHURUB-108541-4723-FIJA","1834"
"C2ORIENTE","1104","1104","C2O-ESTREL-1104-1104-PTZ","1806"
"C2ORIENTE","1079","132174","C2O-TEZONC-132174-1079-FIJA","1788"
"C2ORIENTE","1100","1100","C2O-GRANJA-1100-1100-PTZ","1767"
"C2ORIENTE","1100","102677","C2O-GRANJA-102677-1100-FIJA","1754"
"C2ORIENTE","4723","108542","C2O-CHURUB-108542-4723-FIJA","1751"
"C2ORIENTE","1100","102678","C2O-GRANJA-102678-1100-FIJA","1743"
"C2ORIENTE","4873","108893","C2O-CHURUB-108893-4873-FIJA","1660"
"C2ORIENTE","6185","111227","C2O-TEOTON-111227-6185-FIJA","1644"
"C2ORIENTE","4723","108543","C2O-CHURUB-108543-4723-FIJA","1641"
"C2ORIENTE","4723","108544","C2O-CHURUB-108544-4723-FIJA","1638"
"C2ORIENTE","1097","114903","C2O-ESTREL-114903-1097-4K","1611"
"C2ORIENTE","5773","130552","C2O-MIXQUI-130552-5773-FIJA","1607"
"C2ORIENTE","4985","109192","C2O-SANTAC-109192-4985-FIJA","1606"
"C2ORIENTE","7471","131495","C2O-MIXQUI-131495-7471-FIJA","1604"
"C2ORIENTE","1079","132176","C2O-TEZONC-132176-1079-FIJA","1594"
"C2ORIENTE","1079","132175","C2O-TEZONC-132175-1079-FIJA","1593"
"C2ORIENTE","1100","102680","C2O-GRANJA-102680-1100-FIJA","1529"
"C2ORIENTE","7172","112499","C2O-ESTREL-112499-7172-FIJA","1513"
"C2ORIENTE","7089","112244","C2O-ESTREL-112244-7089-FIJA","1506"
"C2ORIENTE","1100","102679","C2O-GRANJA-102679-1100-FIJA","1502"
"C2ORIENTE","9274","9274","C2O-ESTREL-9274-9274-PTZ","1485"
"C2ORIENTE","1927","1927","C2O-TEOTON-1927-1927-PTZ","1458"
"C2ORIENTE","7089","112242","C2O-ESTREL-112242-7089-FIJA","1434"
"C2ORIENTE","1104","102692","C2O-ESTREL-102692-1104-FIJA","1424"
"C2ORIENTE","5773","130549","C2O-MIXQUI-130549-5773-FIJA","1424"
"C2ORIENTE","7257","112739","C2O-TEZONC-112739-7257-FIJA","1423"
"C2ORIENTE","7455","7455","C2O-MIXQUI-7455-7455-PTZ","1391"
"C2ORIENTE","1035","123175","C2O-TEPEPA-123175-1035-FIJA","1371"
"C2ORIENTE","1104","102690","C2O-ESTREL-102690-1104-FIJA","1371"
"C2ORIENTE","15884","15884","C2O-TEZONC-15884-15884-PTZ","1366"
"C2ORIENTE","1104","102689","C2O-ESTREL-102689-1104-FIJA","1349"
"C2ORIENTE","5132","118572","C2O-ESTREL-118572-5132-FIJA","1348"
"C2ORIENTE","1104","102691","C2O-ESTREL-102691-1104-FIJA","1311"
"C2ORIENTE","7089","112241","C2O-ESTREL-112241-7089-FIJA","1306"
"C2ORIENTE","4863","4863","C2O-ESTREL-4863-4863-PTZ","1296"
"C2ORIENTE","7162","7162","C2O-TEOTON-7162-7162-PTZ","1295"
"C2ORIENTE","7089","112243","C2O-ESTREL-112243-7089-FIJA","1267"
"C2ORIENTE","5132","5132","C2O-ESTREL-5132-5132-PTZ","1262"
"C2ORIENTE","1035","123176","C2O-TEPEPA-123176-1035-FIJA","1261"
"C2ORIENTE","15547","15547","C2O-GRANJA-15547-15547-PTZ","1256"
"C2ORIENTE","1704","103792","C2O-TEZONC-103792-1704-FIJA","1250"
"C2ORIENTE","5132","118571","C2O-ESTREL-118571-5132-FIJA","1244"
"C2ORIENTE","4201","4201","C2O-MIXQUI-4201-4201-PTZ","1233"
"C2ORIENTE","4201","132612","C2O-MIXQUI-132612-4201-FIJA","1210"
"C2ORIENTE","5134","5134","C2O-TEOTON-5134-5134-PTZ","1198"
"C2ORIENTE","7471","131493","C2O-MIXQUI-131493-7471-FIJA","1195"
"C2ORIENTE","7715","103122","C2O-LANORI-103122-7715-FIJA","1179"
"C2ORIENTE","4201","132609","C2O-MIXQUI-132609-4201-FIJA","1166"
"C2ORIENTE","5132","118570","C2O-ESTREL-118570-5132-FIJA","1148"
"C2ORIENTE","7172","112498","C2O-ESTREL-112498-7172-FIJA","1123"
"C2ORIENTE","6185","6185","C2O-TEOTON-6185-6185-PTZ","1119"
"C2ORIENTE","5132","118569","C2O-ESTREL-118569-5132-FIJA","1116"
"C2ORIENTE","15871","15871","C2O-ESTREL-15871-15871-PTZ","1110"
"C2ORIENTE","5142","5142","C2O-TEOTON-5142-5142-PTZ","1109"
"C2ORIENTE","4201","132611","C2O-MIXQUI-132611-4201-FIJA","1107"
"C2ORIENTE","15768","15768","C2O-TEZONC-15768-15768-PTZ","1100"
"C2ORIENTE","4176","107447","C2O-MIXQUI-107447-4176-FIJA","1097"
"C2ORIENTE","7656","126262","C2O-LANORI-126262-7656-FIJA","1084"
"C2ORIENTE","7471","7471","C2O-MIXQUI-7471-7471-PTZ","1078"
"C2ORIENTE","15773","15773","C2O-TEZONC-15773-15773-PTZ","1073"
"C2ORIENTE","15771","15771","C2O-TEZONC-15771-15771-PTZ","1070"
"C2ORIENTE","15875","15875","C2O-ESTREL-15875-15875-PTZ","1053"
"C2ORIENTE","4870","4870","C2O-ESTREL-4870-4870-PTZ","1051"
"C2ORIENTE","1230","1230","C2O-ZAPOTI-1230-1230-PTZ","1039"
"C2ORIENTE","5774","5774","C2O-MIXQUI-5774-5774-PTZ","1038"
"C2ORIENTE","7666","117330","C2O-MIXQUI-117330-7666-FIJA","1025"
"C2ORIENTE","4823","108766","C2O-OASIS-108766-4823-FIJA","1013"
"C2ORIENTE","4209","4209","C2O-ZAPOTI-4209-4209-PTZ","1011"
"C2ORIENTE","1478","103351","C2O-OASIS-103351-1478-FIJA","1009"
"C2ORIENTE","7656","126261","C2O-LANORI-126261-7656-FIJA","1004"
"C2ORIENTE","4201","132610","C2O-MIXQUI-132610-4201-FIJA","1004"
"C2ORIENTE","746","746","C2O-TEZONC-746-746-PTZ","1003"
"C2ORIENTE","726","726","C2O-OASIS-726-726-PTZ","998"
"C2ORIENTE","6201","6201","C2O-TEZONC-6201-6201-PTZ","978"
"C2ORIENTE","5742","122216","C2O-TECOMI-122216-5742-FIJA","976"
"C2ORIENTE","4176","107446","C2O-MIXQUI-107446-4176-FIJA","971"
"C2ORIENTE","6187","6187","C2O-TEOTON-6187-6187-PTZ","963"
"C2ORIENTE","7172","112500","C2O-ESTREL-112500-7172-FIJA","956"
"C2ORIENTE","747","747","C2O-TEZONC-747-747-PTZ","955"
"C2ORIENTE","7807","113375","C2O-MIXQUI-113375-7807-FIJA","952"
"C2ORIENTE","4954","4954","C2O-OASIS-4954-4954-PTZ","945"
"C2ORIENTE","7172","112497","C2O-ESTREL-112497-7172-FIJA","945"
"C2ORIENTE","7656","126260","C2O-LANORI-126260-7656-FIJA","932"
"C2ORIENTE","7708","7708","C2O-TEPEPA-7708-7708-PTZ","920"
"C2ORIENTE","7673","119339","C2O-TEPEPA-119339-7673-FIJA","920"
"C2ORIENTE","5037","5037","C2O-OASIS-5037-5037-PTZ","913"
"C2ORIENTE","15521","15521","C2O-ABASTO-15521-15521-PTZ","911"
"C2ORIENTE","7235","112688","C2O-OASIS-112688-7235-FIJA","878"
"C2ORIENTE","7459","7459","C2O-ZAPOTI-7459-7459-PTZ","863"
"C2ORIENTE","7656","126259","C2O-LANORI-126259-7656-FIJA","860"
"C2ORIENTE","7449","7449","C2O-ZAPOTI-7449-7449-PTZ","859"
"C2ORIENTE","15769","15769","C2O-TEZONC-15769-15769-PTZ","853"
"C2ORIENTE","4823","4823","C2O-OASIS-4823-4823-PTZ","852"
"C2ORIENTE","1499","103398","C2O-TEOTON-103398-1499-FIJA","846"
"C2ORIENTE","764","764","C2O-TEZONC-764-764-PTZ","845"
"C2ORIENTE","194","194","C2O-ZAPOTI-194-194-PTZ","839"
"C2ORIENTE","891","891","C2O-MIXQUI-891-891-PTZ","838"
"C2ORIENTE","5561","5561","C2O-ZAPOTI-5561-5561-PTZ","836"
"C2ORIENTE","1231","102878","C2O-ZAPOTI-102878-1231-FIJA","836"
"C2ORIENTE","5744","5744","C2O-MIXQUI-5744-5744-PTZ","829"
"C2ORIENTE","4205","107488","C2O-ZAPOTI-107488-4205-FIJA","826"
"C2ORIENTE","762","762","C2O-TEZONC-762-762-PTZ","822"
"C2ORIENTE","4194","4194","C2O-ZAPOTI-4194-4194-PTZ","818"
