"Total de registros", 2060
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2SUR","14939","14939","C2S-COAPA-14939-14939-PTZ","33669"
"C2SUR","16781","128848","C2S-TOPILE-128848-16781-FIJA","16839"
"C2SUR","16781","128849","C2S-TOPILE-128849-16781-FIJA","16836"
"C2SUR","16781","128851","C2S-TOPILE-128851-16781-FIJA","16834"
"C2SUR","16781","128850","C2S-TOPILE-128850-16781-FIJA","16830"
"C2SUR","16781","16781","C2S-TOPILE-16781-16781-PTZ","16826"
"C2SUR","14163","127180","C2S-NATIVI-127180-14163-FIJA","13342"
"C2SUR","14163","127179","C2S-NATIVI-127179-14163-FIJA","13336"
"C2SUR","14163","127182","C2S-NATIVI-127182-14163-FIJA","13336"
"C2SUR","14163","14163","C2S-NATIVI-14163-14163-PTZ","13329"
"C2SUR","14163","127181","C2S-NATIVI-127181-14163-FIJA","13328"
"C2SUR","14215","120073","C2S-NAPOLE-120073-14215-FIJA","9225"
"C2SUR","6572","130976","C2S-XOTEPI-130976-6572-FIJA","9088"
"C2SUR","1558","103532","C2S-FUENTE-103532-1558-FIJA","8235"
"C2SUR","3382","106435","C2S-TAXQUE-106435-3382-FIJA","8164"
"C2SUR","3733","106899","C2S-PADIER-106899-3733-FIJA","8050"
"C2SUR","399","101082","C2S-NAPOLE-101082-399-FIJA","8030"
"C2SUR","431","101176","C2S-PORTAL-101176-431-FIJA","7954"
"C2SUR","14891","14891","C2S-PADIER-14891-14891-PTZ","3891"
"C2SUR","6552","6552","C2S-CULHUA-6552-6552-PTZ","1920"
"C2SUR","14108","14108","C2S-PORTAL-14108-14108-PTZ","1568"
"C2SUR","450","450","C2S-TAXQUE-450-450-PTZ","1520"
"C2SUR","6232","6232","C2S-CULHUA-6232-6232-PTZ","1487"
"C2SUR","6232","111281","C2S-CULHUA-111281-6232-FIJA","1216"
"C2SUR","450","101228","C2S-TAXQUE-101228-450-FIJA","1192"
"C2SUR","6232","111283","C2S-CULHUA-111283-6232-FIJA","1170"
"C2SUR","6232","111284","C2S-CULHUA-111284-6232-FIJA","1164"
"C2SUR","6232","111282","C2S-CULHUA-111282-6232-FIJA","1151"
"C2SUR","6231","121821","C2S-CULHUA-121821-6231-FIJA","1145"
"C2SUR","14108","127904","C2S-PORTAL-127904-14108-FIJA","1138"
"C2SUR","14108","127905","C2S-PORTAL-127905-14108-FIJA","1138"
"C2SUR","450","101225","C2S-TAXQUE-101225-450-FIJA","1136"
