"Total de registros", 58
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2ORIENTE","4905","4905","C2O-GRANJA-4905-4905-PTZ","33432"
"C2ORIENTE","15199","15199","C2O-ABASTO-15199-15199-PTZ","33413"
"CEDA","18220","18220","FRUT_Y_LEG/NAVE_ESTACIONAMIENTO_2-18220-PTZ","205"
"CEDA","18509","18509","FRUT_Y_LEG/NAVE_X_AEREO_5-18509-PTZ","198"
"C2ORIENTE","1625","103641","C2O-ABASTO-103641-1625-FIJA","179"
"C2ORIENTE","1625","103642","C2O-ABASTO-103642-1625-FIJA","175"
"C2ORIENTE","1625","103644","C2O-ABASTO-103644-1625-FIJA","147"
"C2ORIENTE","1625","103643","C2O-ABASTO-103643-1625-FIJA","124"
"C2ORIENTE","1625","1625","C2O-ABASTO-1625-1625-PTZ","117"
"CEDA","18023","18023","ADMIN/MODULO_LICENCIAS-18023-FIJA","73"
"CEDA","18090","18090","ABARR_Y_VIVE/NAVE_C_D-18090-PTZ","46"
"CEDA","18020","18020","ADMIN/ESTACIONAMIENTO-18020-PTZ","42"
"CEDA","18018","18018","ADMIN/CORRALON-18018-PTZ","33"
"CEDA","18174","18174","FRUT_Y_LEG/NAVE_J1-18174-PTZ","32"
"CEDA","18052","18052","MURO_10/CASETA_COBRO_3-18052-LPR","27"
"C2ORIENTE","1131","1131","C2O-ABASTO-1131-1131-PTZ","19"
"C2ORIENTE","5000","5000","C2O-ABASTO-5000-5000-PTZ","15"
"C2ORIENTE","1131","102762","C2O-ABASTO-102762-1131-FIJA","14"
"CEDA","18143","18143","ABARR_Y_VIVE/NAVE_B_C1-18143-PTZ","14"
"C2ORIENTE","1131","102764","C2O-ABASTO-102764-1131-FIJA","13"
"C2ORIENTE","5000","109230","C2O-ABASTO-109230-5000-FIJA","11"
"C2ORIENTE","5000","109231","C2O-ABASTO-109231-5000-FIJA","10"
"C2ORIENTE","5000","109229","C2O-ABASTO-109229-5000-FIJA","10"
"C2ORIENTE","673","101770","C2O-ABASTO-101770-673-FIJA","10"
"C2ORIENTE","1131","102761","C2O-ABASTO-102761-1131-FIJA","9"
"C2ORIENTE","5000","109232","C2O-ABASTO-109232-5000-FIJA","9"
"CEDA","18053","18053","MURO_10/PEATONAL_1-18053-FACIAL","6"
"C2ORIENTE","1131","102763","C2O-ABASTO-102763-1131-FIJA","6"
"C2ORIENTE","5104","109538","C2O-ABASTO-109538-5104-FIJA","4"
"CEDA","18632","18632","NUEVA_VIGA/ESTACIONAMIENTO_1-18632-FIJA","4"
"C2ORIENTE","5104","109539","C2O-ABASTO-109539-5104-FIJA","3"
"C2ORIENTE","673","673","C2O-ABASTO-673-673-PTZ","3"
"C2ORIENTE","673","101771","C2O-ABASTO-101771-673-FIJA","3"
"CEDA","18573","18573","SUBA_Y_PROD/ANDEN_4-18573-PTZ","2"
"C2ORIENTE","4745","117737","C2O-ABASTO-117737-4745-FIJA","2"
"CEDA","18574","18574","SUBA_Y_PROD/ANDEN_4-18574-FIJA","2"
"CEDA","18580","18580","SUBA_Y_PROD/ANDEN_3_3-18580-FIJA","2"
"CEDA","18581","18581","SUBA_Y_PROD/ANDEN_3_4-18581-FIJA","2"
"CEDA","18586","18586","SUBA_Y_PROD/ANDEN_2-18586-PTZ","2"
"CEDA","18587","18587","SUBA_Y_PROD/ANDEN_2_4-18587-FIJA","2"
"CEDA","18592","18592","SUBA_Y_PROD/ANDEN_1_3-18592-FIJA","2"
"CEDA","18593","18593","SUBA_Y_PROD/ANDEN_1_4-18593-FIJA","2"
"CEDA","18608","18608","MURO_9/PEATONAL_3-18608-FACIAL","1"
"CEDA","18575","18575","SUBA_Y_PROD/PEATONAL_1-18575-FACIAL","1"
"CEDA","18576","18576","SUBA_Y_PROD/SALIDA_5-18576-FIJA","1"
"C2ORIENTE","4745","117738","C2O-ABASTO-117738-4745-FIJA","1"
"C2ORIENTE","4745","4745","C2O-ABASTO-4745-4745-PTZ","1"
"C2ORIENTE","673","101772","C2O-ABASTO-101772-673-FIJA","1"
"C2ORIENTE","4745","117739","C2O-ABASTO-117739-4745-FIJA","1"
"C2ORIENTE","5104","5104","C2O-ABASTO-5104-5104-PTZ","1"
"C2ORIENTE","15215","15215","C2O-ABASTO-15215-15215-PTZ","1"
"C2ORIENTE","4907","108981","C2O-GRANJA-108981-4907-FIJA","1"
"CEDA","18063","18063","ABARR_Y_VIVE/NAVE_A-18063-PTZ-20M-4K","1"
"C2ORIENTE","5104","109540","C2O-ABASTO-109540-5104-FIJA","1"
"CEDA","18525","18525","FLORES_Y_HOR/NAVE_2_BANO-18525-FIJA","1"
"CEDA","18528","18528","FLORES_Y_HOR/ESTACIONAMIENTO_1-18528-PTZ","1"
"CEDA","18539","18539","MURO_5/PEATONAL_1-18539-FACIAL","1"
"C2ORIENTE","4745","117740","C2O-ABASTO-117740-4745-FIJA","1"
