"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","134","134","C2C-BUENAV-134-134-PTZ","27"
"C2CENTRO","2188","2188","C2C-ALAMED-2188-2188-PTZ","26"
"C2CENTRO","5427","120961","C2C-TLATEL-120961-5427-FIJA","24"
"C2CENTRO","2440","180059","C2C-CENTRO-180059-2440-FIJA","24"
"C2CENTRO","10015","10015","C2C-ROMA-10015-10015-PTZ-20M","23"
"C2CENTRO","2615","119386","C2C-ROMA-119386-2615-FIJA","23"
"C2CENTRO","5427","120962","C2C-TLATEL-120962-5427-FIJA","22"
"C2CENTRO","2615","119387","C2C-ROMA-119387-2615-FIJA","21"
"C2CENTRO","5432","124991","C2C-TLATEL-124991-5432-FIJA","20"
"C2CENTRO","5450","5450","C2C-TLATEL-5450-5450-PTZ","20"
"C2CENTRO","5432","124992","C2C-TLATEL-124992-5432-FIJA","20"
"C2CENTRO","5432","124994","C2C-TLATEL-124994-5432-FIJA","20"
"C2CENTRO","2554","119203","C2C-MORELO-119203-2554-FIJA","19"
"C2CENTRO","2554","119204","C2C-MORELO-119204-2554-FIJA","19"
"C2CENTRO","5432","5432","C2C-TLATEL-5432-5432-PTZ","19"
"C2CENTRO","2543","121130","C2C-CENTRO-121130-2543-FIJA","18"
"C2CENTRO","2200","117486","C2C-ROMA-117486-2200-FIJA","18"
"C2CENTRO","7980","7980","C2C-BUENAV-7980-7980-PTZ","17"
"C2CENTRO","16947","16947","C2C-TLATEL-16947-16947-PTZ","17"
"C2CENTRO","2554","119202","C2C-MORELO-119202-2554-FIJA","17"
"C2CENTRO","8083","120653","C2C-ASTURI-120653-8083-FIJA","17"
"C2CENTRO","2615","2615","C2C-ROMA-2615-2615-PTZ","17"
"C2CENTRO","5432","124993","C2C-TLATEL-124993-5432-FIJA","17"
"C2CENTRO","7980","113766","C2C-BUENAV-113766-7980-FIJA","17"
"C2CENTRO","2615","119388","C2C-ROMA-119388-2615-FIJA","17"
"C2CENTRO","2440","180057","C2C-CENTRO-180057-2440-FIJA","16"
