"Total de registros", 2307
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2NORTE","1817","1817","C2N-ARAGON-1817-1817-PTZ","14743"
"C2NORTE","6974","6974","C2N-TLACOT-6974-6974-PTZ","8505"
"C2NORTE","83","100202","C2N-PRADER-100202-83-FIJA","8355"
"C2NORTE","1970","118927","C2N-ARAGON-118927-1970-FIJA","8293"
"C2NORTE","6895","131161","C2N-QUIROG-131161-6895-FIJA","8155"
"C2NORTE","1758","103886","C2N-TEPEYA-103886-1758-FIJA","8072"
"C2NORTE","6914","112082","C2N-QUIROG-112082-6914-FIJA","5616"
"C2NORTE","6914","112084","C2N-QUIROG-112084-6914-FIJA","5616"
"C2NORTE","11703","11703","C2N-TLACOT-11703-11703-PTZ","4123"
"C2NORTE","3923","3923","C2N-MERCED-3923-3923-PTZ","3212"
"C2NORTE","1995","1995","C2N-TICOMA-1995-1995-PTZ","3063"
"C2NORTE","1995","116640","C2N-TICOMA-116640-1995-FIJA","3016"
"C2NORTE","1995","116637","C2N-TICOMA-116637-1995-FIJA","3004"
"C2NORTE","3848","115298","C2N-ARENAL-115298-3848-FIJA","3003"
"C2NORTE","1995","116638","C2N-TICOMA-116638-1995-FIJA","2951"
"C2NORTE","1995","116639","C2N-TICOMA-116639-1995-FIJA","2906"
"C2NORTE","11730","11730","C2N-PANTIT-11730-11730-PTZ","2655"
"C2NORTE","12096","180129","C2N-CONGRE-180129-12096-FIJA","2618"
"C2NORTE","12096","180132","C2N-CONGRE-180132-12096-FIJA","2597"
"C2NORTE","12096","180130","C2N-CONGRE-180130-12096-FIJA","2587"
"C2NORTE","3848","115297","C2N-ARENAL-115297-3848-FIJA","2577"
"C2NORTE","12096","180131","C2N-CONGRE-180131-12096-FIJA","2411"
"C2NORTE","12096","12096","C2N-CONGRE-12096-12096-PTZ","2357"
"C2NORTE","3747","106928","C2N-ARENAL-106928-3747-FIJA","2300"
"C2NORTE","7640","131581","C2N-ARENAL-131581-7640-FIJA","2170"
"C2NORTE","7640","131584","C2N-ARENAL-131584-7640-FIJA","2114"
"C2NORTE","11077","131880","C2N-QUIROG-131880-11077-FIJA","2074"
"C2NORTE","7640","131582","C2N-ARENAL-131582-7640-FIJA","2054"
"C2NORTE","3923","121707","C2N-MERCED-121707-3923-FIJA","2013"
"C2NORTE","11077","131879","C2N-QUIROG-131879-11077-FIJA","1981"
"C2NORTE","11077","131878","C2N-QUIROG-131878-11077-FIJA","1976"
"C2NORTE","7640","7640","C2N-ARENAL-7640-7640-PTZ","1946"
"C2NORTE","7640","131583","C2N-ARENAL-131583-7640-FIJA","1937"
"C2NORTE","11077","131877","C2N-QUIROG-131877-11077-FIJA","1921"
"C2NORTE","3890","119218","C2N-ARENAL-119218-3890-FIJA","1904"
"C2NORTE","3923","121710","C2N-MERCED-121710-3923-FIJA","1893"
"C2NORTE","3890","119219","C2N-ARENAL-119219-3890-FIJA","1877"
"C2NORTE","3890","119220","C2N-ARENAL-119220-3890-FIJA","1871"
"C2NORTE","3890","119217","C2N-ARENAL-119217-3890-FIJA","1869"
"C2NORTE","7642","7642","C2N-MOCTEZ-7642-7642-PTZ","1832"
"C2NORTE","3890","3890","C2N-ARENAL-3890-3890-PTZ","1828"
"C2NORTE","3848","115300","C2N-ARENAL-115300-3848-FIJA","1792"
"C2NORTE","11077","11077","C2N-QUIROG-11077-11077-PTZ","1728"
"C2NORTE","3923","121709","C2N-MERCED-121709-3923-FIJA","1714"
"C2NORTE","3923","121708","C2N-MERCED-121708-3923-FIJA","1677"
"C2NORTE","3944","124306","C2N-MERCED-124306-3944-FIJA","1614"
"C2NORTE","11828","11828","C2N-CONSUL-11828-11828-PTZ","1567"
"C2NORTE","10883","10883","C2N-PRADER-10883-10883-PTZ","1460"
"C2NORTE","3944","124303","C2N-MERCED-124303-3944-FIJA","1450"
"C2NORTE","7081","7081","C2N-PANTIT-7081-7081-PTZ","1413"
