"Total de registros", 5261
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2PONIENTE","6406","6406","C2P-HORMIG-6406-6406-PTZ","187"
"C2PONIENTE","9203","9203","C2P-CLAVER-9203-9203-PTZ","185"
"C2PONIENTE","1255","114909","C2P-SANANG-114909-1255-4K","181"
"C2PONIENTE","6326","111415","C2P-PLATER-111415-6326-FIJA","180"
"C2PONIENTE","1518","103444","C2P-CHAPUL-103444-1518-FIJA","177"
"C2PONIENTE","6326","111416","C2P-PLATER-111416-6326-FIJA","173"
"C2PONIENTE","6173","130699","C2P-ALPES-130699-6173-FIJA","170"
"C2PONIENTE","13097","126975","C2P-HORMIG-126975-13097-FIJA","163"
"C2PONIENTE","7934","121328","C2P-SANANG-121328-7934-FIJA","161"
"C2PONIENTE","6326","111413","C2P-PLATER-111413-6326-FIJA","161"
"C2PONIENTE","4391","120852","C2P-PLATER-120852-4391-FIJA","159"
"C2PONIENTE","1518","103441","C2P-CHAPUL-103441-1518-FIJA","153"
"C2PONIENTE","4376","133224","C2P-PLATER-133224-4376-FIJA","141"
"C2PONIENTE","13097","13097","C2P-HORMIG-13097-13097-PTZ","141"
"C2PONIENTE","12359","12359","C2P-SANANG-12359-12359-PTZ-20M","138"
"C2PONIENTE","13097","126978","C2P-HORMIG-126978-13097-FIJA","138"
"C2PONIENTE","13097","126976","C2P-HORMIG-126976-13097-FIJA","136"
"C2PONIENTE","4437","4437","C2P-ALPES-4437-4437-PTZ","127"
"C2PONIENTE","13097","126977","C2P-HORMIG-126977-13097-FIJA","121"
"C2PONIENTE","12370","12370","C2P-SANTAF-12370-12370-PTZ-20M","116"
"C2PONIENTE","12737","121439","C2P-SANTAF-121439-12737-FIJA","97"
"C2PONIENTE","7308","7308","C2P-DINAMO-7308-7308-PTZ","94"
"C2PONIENTE","7308","126033","C2P-DINAMO-126033-7308-FIJA","92"
"C2PONIENTE","7308","126034","C2P-DINAMO-126034-7308-FIJA","92"
"C2PONIENTE","13404","13404","C2P-TACUBA-13404-13404-PTZ-20M","92"
"C2PONIENTE","7308","126031","C2P-DINAMO-126031-7308-FIJA","91"
"C2PONIENTE","4376","133223","C2P-PLATER-133223-4376-FIJA","89"
"C2PONIENTE","6173","130698","C2P-ALPES-130698-6173-FIJA","85"
"C2PONIENTE","7308","126032","C2P-DINAMO-126032-7308-FIJA","78"
"C2PONIENTE","6301","6301","C2P-SANTAF-6301-6301-PTZ","76"
"C2PONIENTE","6301","111377","C2P-SANTAF-111377-6301-FIJA","75"
"C2PONIENTE","6301","111380","C2P-SANTAF-111380-6301-FIJA","73"
"C2PONIENTE","6301","111378","C2P-SANTAF-111378-6301-FIJA","73"
"C2PONIENTE","6301","111379","C2P-SANTAF-111379-6301-FIJA","72"
"C2PONIENTE","6206","6206","C2P-SOTELO-6206-6206-PTZ","65"
"C2PONIENTE","6222","6222","C2P-CLAVER-6222-6222-PTZ","60"
"C2PONIENTE","3176","105920","C2P-TACUBA-105920-3176-FIJA","58"
